OMIM_ID	DO_ID
OMIM:230350	DOID:9870
OMIM:230400	DOID:9870
OMIM:230450	DOID:583
OMIM:230500	DOID:3322
OMIM:230600	DOID:3322
OMIM:230650	DOID:3322
OMIM:230740	DOID:987
OMIM:230800	DOID:1926
OMIM:230900	DOID:1926
OMIM:231000	DOID:1926
OMIM:231005	DOID:1926
OMIM:231070	DOID:0080001
OMIM:231090	DOID:3590
OMIM:231095	DOID:12721
OMIM:231200	DOID:2217
OMIM:231300	DOID:11211
OMIM:231530	DOID:655
OMIM:231550	DOID:0050602
OMIM:231670	DOID:9252
OMIM:231680	DOID:0060358
OMIM:231690	DOID:9252
OMIM:231900	DOID:583
OMIM:232200	DOID:2749
OMIM:232220	DOID:2749
OMIM:232240	DOID:2749
OMIM:232300	DOID:2752
OMIM:232400	DOID:2748
OMIM:232500	DOID:2750
OMIM:232600	DOID:2746
OMIM:232700	DOID:2754
OMIM:232800	DOID:11721
OMIM:233100	DOID:9432
OMIM:233300	DOID:14450
OMIM:233400	DOID:0050857
OMIM:233420	DOID:14448
OMIM:233650	DOID:3265
OMIM:233690	DOID:3265
OMIM:233700	DOID:3265
OMIM:233710	DOID:3265
OMIM:233910	DOID:9281
OMIM:234000	DOID:2231
OMIM:234050	DOID:0050528
OMIM:234200	DOID:3981
OMIM:234500	DOID:1060
OMIM:234810	DOID:6432
OMIM:235200	DOID:2352
